step,T,Epot,Efull,SolventMolsThroughZ,
0,0.000953139,-12204.6,-12204.6,0,
5e-015,0.166271,-12207.3,-12205,0,
1e-014,0.264884,-12210,-12206.3,0,
1.5e-014,0.357053,-12213.1,-12208.1,0,
2e-014,0.395504,-12215.8,-12210.3,0,
2.5e-014,0.408726,-12218.2,-12212.6,0,
3e-014,0.405362,-12220.5,-12214.9,0,
3.5e-014,0.388877,-12222.6,-12217.2,0,
4e-014,0.361572,-12224.4,-12219.4,0,
4.5e-014,0.331336,-12226,-12221.4,0,
5e-014,0.290097,-12227.2,-12223.2,0,
5.5e-014,2.06594,-12229.1,-12200.5,0,
6e-014,3.38771,-12230.9,-12184.2,0,
6.5e-014,4.25284,-12231.9,-12173.2,0,
7e-014,4.78849,-12231.9,-12165.8,0,
7.5e-014,5.13606,-12231.5,-12160.6,0,
8e-014,5.39834,-12231.5,-12156.9,0,
8.5e-014,5.62259,-12232.2,-12154.6,0,
9e-014,5.85176,-12234.2,-12153.4,0,
9.5e-014,6.08517,-12237.3,-12153.3,0,
1e-013,6.33061,-12241.9,-12154.5,0,
1.05e-013,8.44492,-12247.5,-12130.9,0,
1.1e-013,9.89851,-12253.1,-12116.4,0,
1.15e-013,10.8762,-12258.4,-12108.2,0,
1.2e-013,11.4613,-12262.4,-12104.1,0,
1.25e-013,11.7678,-12264.8,-12102.4,0,
1.3e-013,11.8882,-12265.7,-12101.6,0,
1.35e-013,11.8735,-12265,-12101.1,0,
1.4e-013,11.8492,-12264,-12100.5,0,
1.45e-013,11.7995,-12262.6,-12099.6,0,
1.5e-013,11.7875,-12261.4,-12098.7,0,
1.55e-013,13.7304,-12261.2,-12071.7,0,
1.6e-013,15.1028,-12261.7,-12053.2,0,
1.65e-013,16.0838,-12262.8,-12040.7,0,
1.7e-013,16.7965,-12264.7,-12032.8,0,
1.75e-013,17.2888,-12266.6,-12027.9,0,
1.8e-013,17.6238,-12268.5,-12025.2,0,
1.85e-013,17.8239,-12270,-12023.9,0,
1.9e-013,17.909,-12270.6,-12023.3,0,
1.95e-013,17.9196,-12270.5,-12023.1,0,
2e-013,17.867,-12269.3,-12022.6,0,
2.05e-013,19.6703,-12267.2,-11995.6,0,
2.1e-013,20.8397,-12264.1,-11976.3,0,
2.15e-013,21.6689,-12261.3,-11962.1,0,
2.2e-013,22.2244,-12258.4,-11951.5,0,
2.25e-013,22.6586,-12256.3,-11943.4,0,
2.3e-013,22.979,-12254.5,-11937.3,0,
2.35e-013,23.2037,-12253,-11932.6,0,
2.4e-013,23.3756,-12251.7,-11929,0,
2.45e-013,23.5121,-12250.8,-11926.2,0,
2.5e-013,23.6295,-12250.3,-11924.1,0,
2.55e-013,25.6328,-12250.2,-11896.3,0,
2.6e-013,26.9921,-12249.9,-11877.2,0,
2.65e-013,27.9554,-12250.2,-11864.3,0,
2.7e-013,28.5387,-12249.3,-11855.3,0,
2.75e-013,28.9707,-12248.9,-11848.9,0,
2.8e-013,29.2522,-12248.4,-11844.5,0,
2.85e-013,29.399,-12247,-11841.1,0,
2.9e-013,29.5497,-12246.5,-11838.6,0,
2.95e-013,29.6199,-12245.5,-11836.6,0,
3e-013,29.7718,-12246,-11835,0,
3.05e-013,31.7834,-12246.8,-11808,0,
3.1e-013,33.2229,-12248.7,-11790,0,
3.15e-013,34.2305,-12250.9,-11778.3,0,
3.2e-013,34.9603,-12253.8,-11771.1,0,
3.25e-013,35.4637,-12256.9,-11767.3,0,
3.3e-013,35.7681,-12259.4,-11765.6,0,
3.35e-013,35.9613,-12261.5,-11765,0,
3.4e-013,36.0666,-12263.3,-11765.4,0,
3.45e-013,36.1389,-12264.9,-11766,0,
3.5e-013,36.285,-12268.1,-11767.1,0,
3.55e-013,38.2787,-12271.1,-11742.7,0,
3.6e-013,39.6289,-12273.9,-11726.8,0,
3.65e-013,40.5924,-12277.4,-11716.9,0,
3.7e-013,41.1956,-12280,-11711.2,0,
3.75e-013,41.5872,-12282.2,-11708,0,
3.8e-013,41.7948,-12283.5,-11706.5,0,
3.85e-013,41.9184,-12284.5,-11705.7,0,
3.9e-013,42.1,-12287,-11705.8,0,
3.95e-013,42.2979,-12290.8,-11706.8,0,
4e-013,42.4682,-12295.2,-11708.9,0,
4.05e-013,44.4792,-12299.4,-11685.3,0,
4.1e-013,45.914,-12304.5,-11670.6,0,
4.15e-013,46.901,-12309.9,-11662.4,0,
4.2e-013,47.6176,-12315.9,-11658.4,0,
4.25e-013,48.2009,-12323.4,-11657.9,0,
4.3e-013,48.5725,-12330.6,-11660,0,
4.35e-013,48.8,-12337.3,-11663.5,0,
4.4e-013,48.9507,-12343.9,-11668.1,0,
4.45e-013,49.0121,-12349.9,-11673.2,0,
4.5e-013,49.0174,-12355.3,-11678.5,0,
4.55e-013,50.9135,-12360.5,-11657.6,0,
4.6e-013,52.149,-12364.7,-11644.8,0,
4.65e-013,52.9568,-12368.4,-11637.3,0,
4.7e-013,53.4075,-12370.5,-11633.1,0,
4.75e-013,53.6998,-12372.3,-11630.9,0,
4.8e-013,53.8709,-12373.7,-11630,0,
4.85e-013,54.0885,-12376.7,-11630,0,
4.9e-013,54.2801,-12380.5,-11631.1,0,
4.95e-013,54.4042,-12384,-11632.9,0,
5e-013,54.6046,-12389.3,-11635.5,0,
5.05e-013,56.6353,-12394.6,-11612.7,0,
5.1e-013,58.0451,-12400.3,-11598.9,0,
5.15e-013,59.0345,-12406.6,-11591.5,0,
5.2e-013,59.6106,-12411.2,-11588.2,0,
5.25e-013,59.9671,-12415.1,-11587.2,0,
5.3e-013,60.1321,-12417.9,-11587.7,0,
5.35e-013,60.1885,-12419.6,-11588.6,0,
5.4e-013,60.187,-12420.8,-11589.8,0,
5.45e-013,60.1267,-12420.9,-11590.7,0,
5.5e-013,60.1379,-12421.9,-11591.6,0,
5.55e-013,62.045,-12422.7,-11566.1,0,
5.6e-013,63.405,-12424.6,-11549.2,0,
5.65e-013,64.3132,-12426.1,-11538.2,0,
5.7e-013,64.8925,-12427,-11531.1,0,
5.75e-013,65.2547,-12427.5,-11526.6,0,
5.8e-013,65.5099,-12428.1,-11523.6,0,
5.85e-013,65.6917,-12428.7,-11521.7,0,
5.9e-013,65.8848,-12430.4,-11520.8,0,
5.95e-013,66.0444,-12432.6,-11520.7,0,
6e-013,66.1289,-12434.4,-11521.5,0,
