step,T,Epot,Efull,SolventMolsThroughZ,
0,1145.74,176701,179631,-842150451,
5e-015,4345.88,7999.57,19110.7,-1684300902,
1e-014,3729.5,5773.48,15308.7,1768515943,
1.5e-014,2568.86,5322,11889.8,926365492,
2e-014,2213.98,3634.94,9295.45,84215041,
2.5e-014,1436.23,3180.19,6852.22,-757935410,
3e-014,1393.24,1732.58,5294.69,-1600085861,
3.5e-014,1065.88,1231.11,3956.26,1852730984,
4e-014,1010.85,278.371,2862.83,1010580533,
4.5e-014,890.035,-361.641,1913.92,168430082,
5e-014,649.48,-530.02,1130.51,-673720369,
5.5e-014,585.808,-1039.75,457.995,-1515870820,
6e-014,467.443,-1247.71,-52.5969,1936946025,
6.5e-014,358.81,-1403.71,-486.338,1094795574,
7e-014,306.056,-1620.32,-837.828,252645123,
7.5e-014,230.724,-1707.26,-1117.36,-589505328,
8e-014,190.808,-1828.85,-1341.01,-1431655779,
8.5e-014,195.03,-2029.65,-1531.02,2021161066,
9e-014,146.624,-2075.59,-1700.71,1179010615,
9.5e-014,131.655,-2158,-1821.4,336860164,
1e-013,124.505,-2257.55,-1939.23,-505290287,
1.05e-013,94.4082,-2264.7,-2023.32,-1347440738,
1.1e-013,94.6293,-2339.18,-2097.24,2105376107,
1.15e-013,64.4794,-2320.45,-2155.6,1263225656,
1.2e-013,55.3852,-2343.34,-2201.73,421075205,
1.25e-013,49.7435,-2364.84,-2237.66,-421075246,
1.3e-013,42.277,-2381.91,-2273.82,-1263225697,
1.35e-013,32.0655,-2381.06,-2299.08,-2105376148,
1.4e-013,32.3239,-2407.32,-2324.68,1347440697,
1.45e-013,26.8314,-2412.69,-2344.09,505290246,
1.5e-013,25.8622,-2425.79,-2359.67,-336860205,
1.55e-013,24.323,-2429.36,-2367.17,-1179010656,
1.6e-013,24.2405,-2435.95,-2373.97,-2021161107,
1.65e-013,24.8895,-2443.2,-2379.57,1431655738,
1.7e-013,24.1683,-2447.25,-2385.46,589505287,
1.75e-013,24.8131,-2454.38,-2390.94,-252645164,
1.8e-013,22.8499,-2453.94,-2395.52,-1094795615,
1.85e-013,23.4063,-2460.05,-2400.2,-1936946066,
1.9e-013,22.2714,-2461.63,-2404.69,1515870779,
1.95e-013,21.1165,-2462.51,-2408.52,673720328,
2e-013,20.3728,-2463.4,-2411.31,-168430123,
2.05e-013,22.3713,-2466.52,-2409.33,-1010580574,
2.1e-013,22.4456,-2465.27,-2407.88,-1852731025,
2.15e-013,24.8272,-2471.16,-2407.69,1600085820,
2.2e-013,25.5018,-2473.07,-2407.87,757935369,
2.25e-013,26.5168,-2477.8,-2410,-84215082,
2.3e-013,25.123,-2474.2,-2409.96,-926365533,
2.35e-013,26.8372,-2479.76,-2411.14,-1768515984,
2.4e-013,26.8733,-2481.07,-2412.36,1684300861,
2.45e-013,25.4866,-2479.31,-2414.15,842150410,
2.5e-013,24.7478,-2477.46,-2414.19,-41,
2.55e-013,28.4948,-2483.83,-2410.97,-842150492,
2.6e-013,26.4724,-2475.56,-2407.88,-1684300943,
2.65e-013,28.4601,-2478.7,-2405.93,1768515902,
2.7e-013,27.4579,-2474.59,-2404.39,926365451,
2.75e-013,29.0224,-2477.64,-2403.44,84215000,
2.8e-013,29.354,-2478.01,-2402.96,-757935451,
2.85e-013,29.5085,-2478.3,-2402.86,-1600085902,
2.9e-013,28.626,-2475.25,-2402.07,1852730943,
2.95e-013,31.1559,-2481.69,-2402.03,1010580492,
3e-013,29.4779,-2477.93,-2402.56,168430041,
3.05e-013,31.8486,-2479.6,-2398.18,-673720410,
3.1e-013,31.3041,-2473.85,-2393.82,-1515870861,
3.15e-013,34.3713,-2479.05,-2391.18,1936945984,
3.2e-013,33.3516,-2474.91,-2389.64,1094795533,
3.25e-013,35.5266,-2479.35,-2388.52,252645082,
3.3e-013,34.1351,-2475.93,-2388.66,-589505369,
3.35e-013,37.4437,-2484.53,-2388.8,-1431655820,
3.4e-013,35.1172,-2480,-2390.21,2021161025,
3.45e-013,36.6034,-2484.44,-2390.85,1179010574,
3.5e-013,35.3012,-2481.32,-2391.06,336860123,
3.55e-013,38.8556,-2485.35,-2386.01,-505290328,
3.6e-013,39.8218,-2485.05,-2383.23,-1347440779,
3.65e-013,40.7014,-2484.92,-2380.86,2105376066,
3.7e-013,41.3557,-2484.97,-2379.24,1263225615,
3.75e-013,42.6996,-2487.39,-2378.22,421075164,
3.8e-013,40.841,-2481.47,-2377.05,-421075287,
3.85e-013,43.6223,-2487.57,-2376.04,-1263225738,
3.9e-013,41.7444,-2482.7,-2375.97,-2105376189,
3.95e-013,42.1941,-2483.25,-2375.38,1347440656,
4e-013,42.7284,-2484.45,-2375.2,505290205,
4.05e-013,45.2279,-2486.44,-2370.8,-336860246,
4.1e-013,45.6005,-2485.15,-2368.56,-1179010697,
4.15e-013,46.1685,-2483.92,-2365.88,-2021161148,
4.2e-013,46.3283,-2482.92,-2364.47,1431655697,
4.25e-013,47.2821,-2483.83,-2362.95,589505246,
4.3e-013,47.3298,-2483.45,-2362.44,-252645205,
4.35e-013,47.067,-2481.85,-2361.51,-1094795656,
4.4e-013,46.9017,-2480.48,-2360.57,-1936946107,
4.45e-013,47.0138,-2479.57,-2359.37,1515870738,
4.5e-013,49.5393,-2486.98,-2360.32,673720287,
4.55e-013,48.0393,-2478.59,-2355.76,-168430164,
