step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,2.12924,-10547.4,0,1.5,-0.00091458,0,500,-11197.5,650.03,106.271,236.373,-11882.8,342.701,645.678,4.35216
1,2.12624,-10547.4,-0.0014941,1.497,0.0713188,0.000105606,500,-11197.6,650.2,106.278,236.564,-11883,342.557,645.734,4.4669
2,2.12324,-10547.6,-0.158583,1.494,0.294472,0.000654292,500,-11198.4,650.842,106.448,238.033,-11884.5,341.529,645.752,5.09051
3,2.12024,-10547.6,-0.15998,1.491,0.000292085,0.00109644,500,-11198.5,650.888,106.449,238.088,-11884.5,341.479,645.711,5.17739
4,2.11724,-10547.6,-0.159982,1.488,-9.52975e-005,0.00109673,500,-11198.5,650.889,106.449,238.091,-11884.5,341.477,645.709,5.18018
5,2.11424,-10547.6,-0.159982,1.485,7.14396e-005,0.0010967,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18043
6,2.11124,-10547.6,-0.159982,1.482,-0.00017431,0.00109654,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18049
7,2.10824,-10547.6,-0.159982,1.479,8.97296e-006,0.00109629,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18049
8,2.10524,-10547.6,-0.159982,1.476,5.40138e-006,0.00109632,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18048
9,2.10224,-10547.6,-0.159982,1.473,3.28373e-006,0.00109633,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18047
10,2.09924,-10547.6,-0.159982,1.47,2.46072e-006,0.00109634,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18047
11,2.09624,-10547.6,-0.159982,1.467,-2.35475e-007,0.00109634,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18047
12,2.09324,-10547.6,-0.159982,1.464,1.56952e-006,0.00109634,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18046
13,2.09024,-10547.6,-0.159982,1.461,-8.63256e-006,0.00109633,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18047
14,2.08724,-10547.6,-0.159982,1.458,1.89122e-005,0.00109635,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18046
15,2.08424,-10547.6,-0.159982,1.455,2.48874e-006,0.00109638,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18047
16,2.08124,-10547.6,-0.159982,1.452,-5.56431e-006,0.00109638,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18047
17,2.07824,-10547.6,-0.159982,1.449,-2.19088e-007,0.00109637,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18046
18,2.07524,-10547.6,-0.159982,1.446,4.59428e-005,0.00109644,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18046
19,2.07224,-10547.6,-0.159982,1.443,-0.000147869,0.00109628,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18048
20,2.06924,-10547.6,-0.159982,1.44,4.20657e-005,0.00109612,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18048
21,2.06624,-10547.6,-0.159982,1.437,0.000210477,0.0010965,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18047
22,2.06324,-10547.6,-0.159982,1.434,-0.000314621,0.00109635,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.1805
23,2.06024,-10547.6,-0.159982,1.431,5.85643e-005,0.00109596,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18049
24,2.05724,-10547.6,-0.159982,1.428,0.00017057,0.00109631,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18049
25,2.05424,-10547.6,-0.159982,1.425,0.000161931,0.0010968,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18052
26,2.05124,-10547.6,-0.159982,1.422,-3.31149e-005,0.001097,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18052
27,2.04824,-10547.6,-0.159982,1.419,1.3371e-005,0.00109697,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18052
28,2.04524,-10547.6,-0.159982,1.416,7.81035e-005,0.00109711,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18051
29,2.04224,-10547.6,-0.159982,1.413,9.92792e-005,0.00109737,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18052
30,2.03924,-10547.6,-0.159982,1.41,0.000209133,0.00109783,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18053
31,2.03624,-10547.6,-0.159982,1.407,-1.48933e-005,0.00109813,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18053
32,2.03324,-10547.6,-0.159982,1.404,0.000176028,0.00109837,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18052
33,2.03024,-10547.6,-0.159982,1.401,-2.76981e-005,0.00109859,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18053
34,2.02724,-10547.6,-0.159982,1.398,-1.77353e-008,0.00109855,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18053
35,2.02424,-10547.6,-0.159982,1.395,4.58587e-007,0.00109855,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18053
36,2.02124,-10547.6,-0.159982,1.392,0.000302698,0.001099,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18053
37,2.01824,-10547.6,-0.159982,1.389,-2.80847e-005,0.00109942,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18053
38,2.01524,-10547.6,-0.159982,1.386,3.28713e-007,0.00109937,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18052
39,2.01224,-10547.6,-0.159982,1.383,1.03795e-007,0.00109937,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18052
40,2.00924,-10547.6,-0.159982,1.38,-0.000230557,0.00109903,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18052
41,2.00624,-10547.6,-0.159982,1.377,-5.34821e-008,0.00109868,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18052
42,2.00324,-10547.6,-0.159982,1.374,3.3518e-007,0.00109868,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18052
43,2.00024,-10547.6,-0.159982,1.371,2.96605e-007,0.00109868,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18052
44,1.99724,-10547.6,-0.159982,1.368,-2.79556e-007,0.00109868,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18052
45,1.99424,-10547.6,-0.159982,1.365,3.64455e-007,0.00109868,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18052
46,1.99124,-10547.6,-0.159982,1.362,6.36109e-007,0.00109869,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18052
47,1.98824,-10547.6,-0.159982,1.359,-6.44038e-007,0.00109869,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18051
48,1.98524,-10547.6,-0.159982,1.356,2.01463e-007,0.00109869,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18052
49,1.98224,-10547.6,-0.159982,1.353,3.41117e-007,0.00109869,500,-11198.5,650.89,106.449,238.091,-11884.5,341.477,645.709,5.18052
