step,rz,Epot,Epot00,prob_atom_z,prob_atom_fz,prob_atom_fz_integral,n_steps_of_optimization,BondedTermsEnergy,NonBondedTermsEnergy,BondStretchEnergy,AngleStretchEnergy,TorsionEnergy,OutOfPlaneEnergy,DispersionEnergy,ElectrostaticEnergy
0,-0.870764,-10547.5,0,-1.5,-2.1835,0,500,-11197.4,649.937,106.303,236.514,-11882.9,342.656,645.609,4.32859
1,-0.867764,-10547.6,-0.0939288,-1.497,-5.44975,-0.0114499,500,-11197.6,650.007,106.36,237.127,-11883.4,342.293,645.654,4.35312
2,-0.864764,-10547.8,-0.255149,-1.494,-2.96186,-0.0240673,500,-11198.5,650.737,106.439,238.038,-11884.5,341.505,645.566,5.17082
3,-0.861764,-10547.8,-0.265141,-1.491,-3.00427,-0.0330165,500,-11198.5,650.73,106.453,238.09,-11884.5,341.473,645.538,5.19151
4,-0.858764,-10547.8,-0.275731,-1.488,-3.01799,-0.0420499,500,-11198.5,650.71,106.458,238.094,-11884.5,341.474,645.519,5.19048
5,-0.855764,-10547.8,-0.288399,-1.485,-2.87704,-0.0508924,500,-11198.5,650.698,106.457,238.092,-11884.5,341.475,645.513,5.18493
6,-0.852764,-10547.8,-0.300801,-1.482,-2.79593,-0.0594019,500,-11198.5,650.682,106.455,238.081,-11884.5,341.486,645.498,5.18438
7,-0.849764,-10547.8,-0.309261,-1.479,-2.62874,-0.0675389,500,-11198.5,650.701,106.467,238.087,-11884.5,341.458,645.47,5.23114
8,-0.846764,-10547.8,-0.317408,-1.476,-2.79953,-0.0756813,500,-11198.5,650.703,106.444,238.071,-11884.5,341.471,645.472,5.23161
9,-0.843764,-10547.8,-0.325301,-1.473,-2.55704,-0.0837161,500,-11198.5,650.684,106.439,238.099,-11884.5,341.467,645.487,5.19702
10,-0.840764,-10547.8,-0.333229,-1.47,-2.85912,-0.0918404,500,-11198.5,650.666,106.452,238.088,-11884.5,341.475,645.468,5.19855
11,-0.837764,-10547.9,-0.341582,-1.467,-2.88157,-0.100451,500,-11198.5,650.662,106.455,238.098,-11884.5,341.466,645.459,5.20305
12,-0.834764,-10547.9,-0.350886,-1.464,-3.30052,-0.109725,500,-11198.5,650.649,106.453,238.089,-11884.5,341.47,645.441,5.20732
13,-0.831764,-10547.9,-0.36059,-1.461,-3.26223,-0.119569,500,-11198.5,650.641,106.45,238.087,-11884.5,341.471,645.435,5.20617
14,-0.828764,-10547.9,-0.370798,-1.458,-3.45015,-0.129637,500,-11198.5,650.628,106.457,238.09,-11884.5,341.468,645.422,5.20668
15,-0.825764,-10547.9,-0.381376,-1.455,-3.5479,-0.140134,500,-11198.5,650.617,106.458,238.091,-11884.5,341.467,645.41,5.20743
16,-0.822764,-10547.9,-0.392377,-1.452,-3.66296,-0.150951,500,-11198.5,650.604,106.458,238.085,-11884.5,341.472,645.401,5.20276
17,-0.819764,-10547.9,-0.403745,-1.449,-3.76654,-0.162095,500,-11198.5,650.588,106.458,238.092,-11884.5,341.47,645.393,5.1956
18,-0.816764,-10547.9,-0.415527,-1.446,-3.73918,-0.173353,500,-11198.5,650.588,106.45,238.072,-11884.5,341.478,645.388,5.19951
19,-0.813764,-10547.9,-0.42945,-1.443,-4.02721,-0.185003,500,-11198.5,650.608,106.4,238.062,-11884.5,341.492,645.416,5.1914
20,-0.810764,-10548,-0.451928,-1.44,-4.00352,-0.197049,500,-11198.5,650.555,106.439,238.008,-11884.5,341.519,645.366,5.18869
21,-0.807764,-10548,-0.480933,-1.437,-4.7397,-0.210164,500,-11198.5,650.531,106.459,238.061,-11884.5,341.47,645.313,5.21754
22,-0.804764,-10548,-0.499702,-1.434,-4.93987,-0.224683,500,-11198.5,650.488,106.498,238.035,-11884.5,341.481,645.275,5.21361
23,-0.801764,-10548,-0.519872,-1.431,-5.48452,-0.24032,500,-11198.5,650.479,106.476,238.062,-11884.5,341.467,645.272,5.2073
24,-0.798764,-10548,-0.534194,-1.428,-5.81509,-0.257269,500,-11198.5,650.469,106.485,238.033,-11884.5,341.477,645.237,5.23257
25,-0.795764,-10548.1,-0.552943,-1.425,-6.66258,-0.275986,500,-11198.5,650.406,106.539,238.093,-11884.5,341.448,645.183,5.22294
26,-0.792764,-10548.1,-0.570148,-1.422,-6.86598,-0.296279,500,-11198.5,650.461,106.474,238.026,-11884.5,341.474,645.204,5.25702
27,-0.789764,-10548.1,-0.590567,-1.419,-6.41685,-0.316203,500,-11198.5,650.432,106.471,238.051,-11884.5,341.474,645.191,5.24063
28,-0.786764,-10548.1,-0.606377,-1.416,-6.71895,-0.335907,500,-11198.5,650.421,106.469,238.045,-11884.5,341.47,645.169,5.2514
29,-0.783764,-10548.1,-0.627454,-1.413,-6.5315,-0.355782,500,-11198.6,650.432,106.453,238.04,-11884.5,341.464,645.172,5.25933
30,-0.780764,-10548.2,-0.646858,-1.41,-6.57332,-0.375439,500,-11198.6,650.412,106.459,238.033,-11884.5,341.465,645.153,5.2589
31,-0.777764,-10548.2,-0.664326,-1.407,-6.86071,-0.395591,500,-11198.6,650.418,106.442,238.025,-11884.5,341.469,645.145,5.27216
32,-0.774764,-10548.2,-0.683768,-1.404,-6.44408,-0.415548,500,-11198.6,650.363,106.462,238.029,-11884.5,341.468,645.106,5.25707
33,-0.771764,-10548.2,-0.70318,-1.401,-6.39694,-0.434809,500,-11198.6,650.343,106.464,238.046,-11884.5,341.463,645.091,5.25209
34,-0.768764,-10548.2,-0.724142,-1.398,-7.04954,-0.454979,500,-11198.6,650.338,106.453,238.018,-11884.5,341.473,645.077,5.26063
35,-0.765764,-10548.3,-0.74458,-1.395,-7.50462,-0.47681,500,-11198.5,650.293,106.462,238.034,-11884.5,341.474,645.047,5.24556
36,-0.762764,-10548.3,-0.768049,-1.392,-7.43748,-0.499223,500,-11198.6,650.276,106.452,238.019,-11884.5,341.482,645.029,5.24655
37,-0.759764,-10548.3,-0.791881,-1.389,-7.5756,-0.521743,500,-11198.5,650.236,106.459,238.014,-11884.5,341.493,645.024,5.21238
38,-0.756764,-10548.3,-0.811539,-1.386,-8.0271,-0.545147,500,-11198.5,650.216,106.459,238.008,-11884.5,341.494,644.978,5.23816
39,-0.753764,-10548.3,-0.835768,-1.383,-8.69615,-0.570232,500,-11198.5,650.184,106.459,237.994,-11884.5,341.503,644.97,5.21428
40,-0.750764,-10548.4,-0.862716,-1.38,-9.45339,-0.597456,500,-11198.5,650.154,106.457,237.98,-11884.5,341.514,644.948,5.20617
41,-0.747764,-10548.4,-0.89184,-1.377,-9.89716,-0.626482,500,-11198.5,650.116,106.462,237.987,-11884.5,341.515,644.923,5.19257
42,-0.744764,-10548.4,-0.921535,-1.374,-10.0448,-0.656395,500,-11198.5,650.099,106.457,237.985,-11884.5,341.51,644.89,5.2091
43,-0.741764,-10548.5,-0.951835,-1.371,-10.1876,-0.686744,500,-11198.5,650.06,106.464,237.988,-11884.5,341.509,644.86,5.20003
44,-0.738764,-10548.5,-0.982626,-1.368,-10.3037,-0.71748,500,-11198.5,650.043,106.463,237.974,-11884.5,341.509,644.824,5.21973
45,-0.735764,-10548.5,-1.01381,-1.365,-10.5404,-0.748747,500,-11198.5,650.008,106.465,237.985,-11884.5,341.507,644.797,5.21108
46,-0.732764,-10548.6,-1.04674,-1.362,-10.7821,-0.78073,500,-11198.5,649.979,106.462,237.985,-11884.5,341.503,644.758,5.22163
47,-0.729764,-10548.6,-1.08067,-1.359,-10.9367,-0.813309,500,-11198.6,649.96,106.44,237.986,-11884.5,341.508,644.75,5.21085
48,-0.726764,-10548.6,-1.11648,-1.356,-11.6596,-0.847203,500,-11198.5,649.898,106.489,237.983,-11884.5,341.499,644.663,5.23508
49,-0.723764,-10548.7,-1.15333,-1.353,-11.5166,-0.881968,500,-11198.5,649.853,106.458,237.985,-11884.5,341.519,644.665,5.18866
50,-0.720764,-10548.7,-1.18923,-1.35,-11.6943,-0.916784,500,-11198.5,649.843,106.471,237.976,-11884.5,341.503,644.603,5.24059
51,-0.717764,-10548.7,-1.22634,-1.347,-11.5895,-0.95171,500,-11198.5,649.788,106.466,237.971,-11884.5,341.519,644.598,5.19059
52,-0.714764,-10548.8,-1.26649,-1.344,-12.2021,-0.987397,500,-11198.5,649.732,106.491,237.985,-11884.5,341.506,644.533,5.19888
53,-0.711764,-10548.8,-1.30621,-1.341,-11.5449,-1.02302,500,-11198.6,649.74,106.424,237.963,-11884.5,341.526,644.541,5.19913
54,-0.708764,-10548.9,-1.34546,-1.338,-12.2077,-1.05865,500,-11198.5,649.648,106.502,237.996,-11884.5,341.499,644.448,5.19967
55,-0.705764,-10548.9,-1.38704,-1.335,-12.782,-1.09613,500,-11198.6,649.71,106.411,237.936,-11884.5,341.518,644.442,5.26727
56,-0.702764,-10548.9,-1.42872,-1.332,-13.0403,-1.13486,500,-11198.6,649.643,106.467,237.965,-11884.5,341.483,644.353,5.28965
57,-0.699764,-10549,-1.47111,-1.329,-13.0468,-1.174,500,-11198.5,649.547,106.478,237.991,-11884.5,341.503,644.331,5.21644
58,-0.696764,-10549,-1.51135,-1.326,-13.0131,-1.21308,500,-11198.6,649.569,106.443,237.96,-11884.5,341.494,644.284,5.28551
59,-0.693764,-10549.1,-1.55297,-1.323,-13.2836,-1.25253,500,-11198.5,649.487,106.469,237.967,-11884.5,341.502,644.268,5.21957
60,-0.690764,-10549.1,-1.60005,-1.32,-14.1,-1.29361,500,-11198.6,649.481,106.461,237.971,-11884.5,341.489,644.176,5.30491
61,-0.687764,-10549.1,-1.63487,-1.317,-13.6802,-1.33528,500,-11198.6,649.431,106.477,237.936,-11884.5,341.494,644.137,5.29393
62,-0.684764,-10549.2,-1.67929,-1.314,-14.1283,-1.37699,500,-11198.6,649.407,106.463,237.922,-11884.5,341.504,644.104,5.30382
63,-0.681764,-10549.2,-1.72367,-1.311,-14.9423,-1.42059,500,-11198.6,649.357,106.462,237.896,-11884.5,341.513,644.029,5.32823
64,-0.678764,-10549.3,-1.77203,-1.308,-15.0244,-1.46554,500,-11198.6,649.269,106.485,237.974,-11884.5,341.498,644.025,5.24357
65,-0.675764,-10549.3,-1.81304,-1.305,-15.0006,-1.51058,500,-11198.5,649.185,106.478,237.953,-11884.5,341.527,643.996,5.18818
66,-0.672764,-10549.4,-1.86762,-1.302,-17.1694,-1.55884,500,-11198.5,649.135,106.488,237.967,-11884.5,341.52,643.975,5.16051
67,-0.669764,-10549.4,-1.92256,-1.299,-16.4246,-1.60923,500,-11198.5,649.11,106.469,237.885,-11884.4,341.539,643.882,5.22796
68,-0.666764,-10549.5,-1.98659,-1.296,-17.8656,-1.66066,500,-11198.6,649.078,106.457,237.899,-11884.5,341.528,643.832,5.24547
69,-0.663764,-10549.6,-2.05671,-1.293,-17.6193,-1.71389,500,-11198.5,648.955,106.498,237.915,-11884.5,341.53,643.742,5.21254
70,-0.660764,-10549.6,-2.1234,-1.29,-19.3605,-1.76936,500,-11198.6,648.926,106.477,237.907,-11884.5,341.545,643.692,5.23357
71,-0.657764,-10549.7,-2.21265,-1.287,-18.6047,-1.82631,500,-11198.5,648.808,106.475,237.868,-11884.4,341.571,643.594,5.21388
72,-0.654764,-10549.8,-2.32899,-1.284,-19.3043,-1.88317,500,-11198.5,648.645,106.538,237.958,-11884.5,341.529,643.529,5.11547
73,-0.651764,-10549.9,-2.40745,-1.281,-18.2105,-1.93944,500,-11198.6,648.655,106.468,237.821,-11884.4,341.545,643.406,5.24887
74,-0.648764,-10550,-2.51239,-1.278,-15.2127,-1.98958,500,-11198.4,648.381,106.579,238.051,-11884.5,341.456,643.266,5.1141
75,-0.645764,-10550.1,-2.55939,-1.275,-16.8754,-2.03771,500,-11198.5,648.405,106.513,237.896,-11884.4,341.543,643.257,5.14796
76,-0.642764,-10550.1,-2.63388,-1.272,-15.7135,-2.08659,500,-11198.4,648.251,106.546,238.019,-11884.4,341.484,643.109,5.14182
77,-0.639764,-10550.2,-2.64428,-1.269,-16.3151,-2.13464,500,-11198.5,648.346,106.464,237.886,-11884.4,341.57,643.209,5.13761
78,-0.636764,-10550.2,-2.67631,-1.266,-15.9884,-2.18309,500,-11198.5,648.297,106.482,237.976,-11884.5,341.528,643.194,5.10302
79,-0.633764,-10550.3,-2.74418,-1.263,-16.1709,-2.23133,500,-11198.5,648.273,106.43,237.939,-11884.4,341.545,643.199,5.07378
80,-0.630764,-10550.3,-2.75833,-1.26,-15.537,-2.27889,500,-11198.4,648.178,106.498,237.92,-11884.4,341.559,643.08,5.09778
81,-0.627764,-10550.3,-2.80649,-1.257,-15.4166,-2.32532,500,-11198.5,648.138,106.461,237.885,-11884.4,341.587,643.059,5.07928
82,-0.624764,-10550.3,-2.84012,-1.254,-16.9024,-2.3738,500,-11198.5,648.114,106.493,237.883,-11884.4,341.574,643.02,5.09425
83,-0.621764,-10550.4,-2.89421,-1.251,-15.4961,-2.4224,500,-11198.5,648.057,106.462,237.889,-11884.4,341.592,642.997,5.05965
84,-0.618764,-10550.4,-2.93043,-1.248,-17.4203,-2.47177,500,-11198.5,648.06,106.483,237.883,-11884.4,341.571,642.951,5.10914
85,-0.615764,-10550.5,-2.98443,-1.245,-17.966,-2.52485,500,-11198.5,648.022,106.463,237.847,-11884.4,341.584,642.913,5.10949
86,-0.612764,-10550.6,-3.06323,-1.242,-18.4123,-2.57942,500,-11198.5,647.924,106.524,237.918,-11884.5,341.524,642.783,5.1408
87,-0.609764,-10550.6,-3.12728,-1.239,-17.1434,-2.63275,500,-11198.5,647.844,106.465,237.911,-11884.4,341.577,642.756,5.08801
88,-0.606764,-10550.7,-3.18483,-1.236,-15.7422,-2.68208,500,-11198.4,647.747,106.472,237.957,-11884.4,341.577,642.701,5.04622
89,-0.603764,-10550.8,-3.28557,-1.233,-10.741,-2.72181,500,-11198.3,647.503,106.465,237.959,-11884.4,341.663,642.569,4.93411
90,-0.600764,-10550.8,-3.27666,-1.23,-15.9182,-2.7618,500,-11198.4,647.607,106.481,237.97,-11884.4,341.588,642.612,4.99505
91,-0.597764,-10550.8,-3.32741,-1.227,-16.8168,-2.8109,500,-11198.5,647.633,106.452,237.912,-11884.4,341.584,642.553,5.07972
92,-0.594764,-10550.9,-3.37584,-1.224,-16.0742,-2.86024,500,-11198.4,647.527,106.464,237.949,-11884.4,341.587,642.501,5.02581
93,-0.591764,-10550.9,-3.42127,-1.221,-15.567,-2.9077,500,-11198.4,647.485,106.443,237.967,-11884.4,341.595,642.48,5.00511
94,-0.588764,-10551,-3.4647,-1.218,-14.6082,-2.95296,500,-11198.4,647.382,106.462,238.02,-11884.4,341.58,642.418,4.96448
95,-0.585764,-10551,-3.50193,-1.215,-13.4795,-2.99509,500,-11198.3,647.324,106.456,238.018,-11884.4,341.613,642.362,4.96174
96,-0.582764,-10551,-3.53265,-1.212,-12.4297,-3.03396,500,-11198.3,647.235,106.489,238.076,-11884.4,341.602,642.3,4.93522
97,-0.579764,-10551.1,-3.56498,-1.209,-11.0312,-3.06915,500,-11198.3,647.227,106.411,238.06,-11884.4,341.639,642.317,4.90994
