step,T,Epot,Efull,
1e-014,4.6821,-6944.48,-6862.38,
2e-014,3.74203,-6943.93,-6878.31,
3e-014,3.28142,-6952.82,-6895.28,
4e-014,5.21546,-7001.65,-6910.2,
5e-014,3.34743,-6974.72,-6916.02,
6e-014,3.71252,-6987.84,-6922.74,
7e-014,5.07669,-7012.83,-6923.81,
8e-014,3.43803,-6977.35,-6917.07,
9e-014,4.88465,-6999.33,-6913.68,
1e-013,6.18336,-7017.11,-6908.68,
1.1e-013,4.5823,-6979.51,-6899.15,
1.2e-013,6.36741,-7005.02,-6893.36,
1.3e-013,7.08969,-7006.94,-6882.62,
1.4e-013,5.84381,-6970.36,-6867.89,
1.5e-013,8.23356,-7003.78,-6859.4,
1.6e-013,8.1312,-6986.32,-6843.74,
1.7e-013,7.90907,-6967.49,-6828.8,
1.8e-013,10.7854,-7011.02,-6821.89,
1.9e-013,9.7831,-6976.78,-6805.23,
2e-013,9.85485,-6967.49,-6794.69,
2.1e-013,12.5143,-7006.91,-6787.47,
2.2e-013,11.2062,-6967.7,-6771.2,
2.3e-013,11.818,-6967.83,-6760.59,
2.4e-013,13.8326,-6989.93,-6747.37,
2.5e-013,12.0939,-6938.46,-6726.39,
2.6e-013,13.44,-6948.7,-6713.03,
2.7e-013,15.0331,-6958.5,-6694.89,
2.8e-013,13.4493,-6908.95,-6673.11,
2.9e-013,16.0568,-6945.19,-6663.62,
3e-013,17.1979,-6948.17,-6646.6,
3.1e-013,15.8064,-6905.86,-6628.69,
3.2e-013,18.7812,-6948.43,-6619.09,
3.3e-013,18.7098,-6930.63,-6602.55,
3.4e-013,17.4772,-6893.74,-6587.27,
3.5e-013,20.9191,-6943.53,-6576.7,
3.6e-013,19.9523,-6907.74,-6557.87,
3.7e-013,18.7328,-6869.06,-6540.57,
3.8e-013,22.0593,-6911.83,-6525.02,
3.9e-013,20.3571,-6857.52,-6500.55,
4e-013,20.1966,-6833.17,-6479.01,
4.1e-013,23.2864,-6867.33,-6459,
4.2e-013,21.6756,-6810.34,-6430.25,
4.3e-013,24.2566,-6843.03,-6417.69,
4.4e-013,26.2969,-6865.17,-6404.05,
4.5e-013,23.1034,-6786.26,-6381.14,
4.6e-013,25.6018,-6816.2,-6367.27,
4.7e-013,26.6187,-6811.41,-6344.65,
4.8e-013,24.2525,-6742.36,-6317.09,
4.9e-013,28.0437,-6791.39,-6299.64,
5e-013,28.9913,-6789.86,-6281.49,
5.1e-013,27.4751,-6746.64,-6264.86,
5.2e-013,30.6969,-6796.76,-6258.48,
5.3e-013,29.8659,-6758.09,-6234.38,
