step,T,Epot,Efull,
2e-014,277.275,-7360.95,-2761.66,
4e-014,292.168,-7508.44,-2662.11,
6e-014,299.028,-7523.78,-2563.66,
8e-014,292.423,-7313.12,-2462.57,
1e-013,294.133,-7384.12,-2505.2,
1.2e-013,289.095,-7189.04,-2393.69,
1.4e-013,298.571,-7344.1,-2391.57,
1.6e-013,299.361,-7339.79,-2374.16,
1.8e-013,297.504,-7266.62,-2331.78,
2e-013,293.303,-7117.38,-2252.23,
2.2e-013,288.1,-7001.86,-2223.01,
2.4e-013,287.444,-6924.82,-2156.85,
2.6e-013,299.556,-7147.43,-2178.55,
2.8e-013,296,-7063.51,-2153.63,
3e-013,302.608,-7199.97,-2180.47,
3.2e-013,303.161,-7242.15,-2213.48,
3.4e-013,296.97,-7133.3,-2207.32,
3.6e-013,292.146,-7029.26,-2183.3,
3.8e-013,298.909,-7171.3,-2213.16,
4e-013,298.696,-7146.18,-2191.57,
4.2e-013,300.591,-7152.71,-2166.67,
4.4e-013,299.011,-7123.28,-2163.44,
4.6e-013,290.518,-6937,-2118.05,
4.8e-013,302.69,-7154.68,-2133.83,
5e-013,292.451,-6926.13,-2075.11,
5.2e-013,311.045,-7287.64,-2128.2,
5.4e-013,298.153,-7038.86,-2093.27,
5.6e-013,300.524,-7070.74,-2085.81,
5.8e-013,296.025,-6974.51,-2064.2,
6e-013,296.217,-6974.53,-2061.05,
6.2e-013,295.869,-6967.91,-2060.21,
6.4e-013,303.509,-7114.7,-2080.27,
6.6e-013,307.439,-7188.65,-2089.02,
6.8e-013,308.411,-7205.66,-2089.91,
7e-013,303.315,-7178.72,-2147.5,
7.2e-013,298.584,-7110.13,-2157.39,
7.4e-013,300.225,-7122.03,-2142.05,
7.6e-013,293.823,-7024.16,-2150.39,
7.8e-013,304.269,-7206.5,-2159.45,
8e-013,304.641,-7209.74,-2156.53,
8.2e-013,298.633,-7058.37,-2104.81,
8.4e-013,307.938,-7255.92,-2148.01,
8.6e-013,304.699,-7226.55,-2172.37,
8.8e-013,287.666,-6863.02,-2091.38,
9e-013,297.249,-7051.04,-2120.43,
9.2e-013,298.897,-7072.9,-2114.97,
9.4e-013,294.183,-7000.35,-2120.61,
9.6e-013,309.333,-7298.89,-2167.85,
9.8e-013,294.189,-7010.96,-2131.12,
1e-012,304.026,-7176.38,-2133.37,
1.02e-012,299.393,-7095.29,-2129.11,
1.04e-012,294.71,-6993.39,-2104.9,
1.06e-012,301.296,-7117.06,-2119.32,
