step,T,Epot,Efull,
2e-014,-1.#IND,-1.#IND,-1.#IND,
4e-014,-1.#IND,-1.#IND,-1.#IND,
6e-014,-1.#IND,-1.#IND,-1.#IND,
8e-014,-1.#IND,-1.#IND,-1.#IND,
1e-013,-1.#IND,-1.#IND,-1.#IND,
1.2e-013,-1.#IND,-1.#IND,-1.#IND,
1.4e-013,-1.#IND,-1.#IND,-1.#IND,
1.6e-013,-1.#IND,-1.#IND,-1.#IND,
1.8e-013,-1.#IND,-1.#IND,-1.#IND,
2e-013,-1.#IND,-1.#IND,-1.#IND,
2.2e-013,-1.#IND,-1.#IND,-1.#IND,
2.4e-013,-1.#IND,-1.#IND,-1.#IND,
2.6e-013,-1.#IND,-1.#IND,-1.#IND,
2.8e-013,-1.#IND,-1.#IND,-1.#IND,
3e-013,-1.#IND,-1.#IND,-1.#IND,
3.2e-013,-1.#IND,-1.#IND,-1.#IND,
3.4e-013,-1.#IND,-1.#IND,-1.#IND,
3.6e-013,-1.#IND,-1.#IND,-1.#IND,
3.8e-013,-1.#IND,-1.#IND,-1.#IND,
4e-013,-1.#IND,-1.#IND,-1.#IND,
4.2e-013,-1.#IND,-1.#IND,-1.#IND,
4.4e-013,-1.#IND,-1.#IND,-1.#IND,
4.6e-013,-1.#IND,-1.#IND,-1.#IND,
4.8e-013,-1.#IND,-1.#IND,-1.#IND,
5e-013,-1.#IND,-1.#IND,-1.#IND,
5.2e-013,-1.#IND,-1.#IND,-1.#IND,
5.4e-013,-1.#IND,-1.#IND,-1.#IND,
5.6e-013,-1.#IND,-1.#IND,-1.#IND,
5.8e-013,-1.#IND,-1.#IND,-1.#IND,
6e-013,-1.#IND,-1.#IND,-1.#IND,
